method,N,seed,near_P@30,near_Recall@30,near_P@100,near_Recall@100,strict_Recall@30,strict_Recall@100
Ridge(compact),50,1,0.26666666666666666,0.33333333333333326,0.16000000000000003,0.6666666666666665,0.20000000000000004,0.5999999999999999
MutCount (0 labels),50,2,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,50,2,0.03333333333333333,0.04166666666666666,0.030000000000000006,0.125,0.0,0.20000000000000004
Ridge(compact),50,2,0.3666666666666666,0.45833333333333337,0.19,0.7916666666666665,0.4000000000000001,0.5999999999999999
MutCount (0 labels),50,3,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,50,3,0.06666666666666667,0.08333333333333331,0.030000000000000006,0.125,0.0,0.20000000000000004
Ridge(compact),50,3,0.16666666666666663,0.20833333333333334,0.16999999999999998,0.7083333333333335,0.20000000000000004,0.8000000000000002
MutCount (0 labels),50,4,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,50,4,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Ridge(compact),50,4,0.23333333333333334,0.29166666666666674,0.16999999999999998,0.7083333333333335,0.20000000000000004,0.5999999999999999
MutCount (0 labels),50,5,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,50,5,0.06666666666666667,0.08333333333333331,0.07000000000000002,0.29166666666666674,0.0,0.4000000000000001
Ridge(compact),50,5,0.16666666666666663,0.20833333333333334,0.16999999999999998,0.7083333333333335,0.4000000000000001,0.5999999999999999
MutCount (0 labels),50,6,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,50,6,0.06666666666666667,0.08333333333333331,0.04000000000000001,0.16666666666666663,0.20000000000000004,0.20000000000000004
Ridge(compact),50,6,0.26666666666666666,0.33333333333333326,0.19,0.7916666666666665,0.5999999999999999,0.8000000000000002
MutCount (0 labels),50,7,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,50,7,0.06666666666666667,0.08333333333333331,0.05000000000000001,0.20833333333333334,0.0,0.20000000000000004
Ridge(compact),50,7,0.23333333333333334,0.29166666666666674,0.20000000000000004,0.8333333333333334,0.5999999999999999,1.0
MutCount (0 labels),50,8,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,50,8,0.03333333333333333,0.04166666666666666,0.05000000000000001,0.20833333333333334,0.20000000000000004,0.5999999999999999
